Time,TemperatureC
2016-11-04 00:06:00,13.5
2016-11-04 00:16:00,13.5
2016-11-04 00:26:00,13.5
2016-11-04 00:36:00,13.4
2016-11-04 00:46:00,13.4
2016-11-04 00:56:00,13.4
2016-11-04 01:06:00,13.3
2016-11-04 01:16:00,13.1
2016-11-04 01:26:00,13.1
2016-11-04 01:36:00,13.0
2016-11-04 01:46:00,13.0
2016-11-04 01:56:00,13.0
