Time,TemperatureC
2016-11-04 00:03:00,12.2
2016-11-04 00:13:00,12.2
2016-11-04 00:23:00,12.1
2016-11-04 00:33:00,12.9
2016-11-04 00:43:00,12.9
2016-11-04 00:53:00,12.9
2016-11-04 01:04:00,11.6
2016-11-04 01:14:00,11.6
2016-11-04 01:24:00,11.2
2016-11-04 01:34:00,11.1
2016-11-04 01:44:00,11.1
2016-11-04 01:54:00,11.1
